S NO,"APPLN
NO","AGGR
MARK",RANK,"COMMU
NITY","COLLEGE
CODE","BRANCH
CODE","ALLOTTED
CATEGORY",CLG NM,BRNCH
1003,325066,197,1324,BC,2007,EC,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Electronics and Communication Engg
1004,344938,197,1325,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1005,296159,197,1326,BC,4,AT,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1006,284643,197,1327,BC,5008,EC,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Electronics and Communication Engg
1007,237213,197,1328,BC,2007,CS,BC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg
1008,259216,197,1329,BC,5008,CS,BC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg
1009,325725,197,1330,BC,4,EM,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Communication Engg. (SS)
1010,304338,197,1332,BC,4,AT,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1011,342246,197,1333,BC,2005,CS,OC,"Government Clge of Tech (Aut), Thadagam Road, Coimbatore DT 641013",Computer Science and Engg
1012,370830,197,1334,BC,4,EM,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Communication Engg. (SS)
1013,306655,197,1335,OC,5008,CM,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg (SS)
1014,288621,197,1337,BC,2007,CS,BC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg
1015,277615,197,1338,MBC,4,CM,MBC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Computer Science and Engg (SS)
1016,310659,197,1340,MBC,1,EM,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electronics and Communication Engg. (SS)
1017,246809,197,1341,MBC,2006,CM,MBC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Computer Science and Engg (SS)
1018,254518,197,1342,BC,4,AT,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1019,276224,197,1343,BC,5008,EC,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Electronics and Communication Engg
1020,259122,197,1344,BC,4,EM,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Communication Engg. (SS)
1021,250279,197,1345,SC,4,AE,OC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Aeronautical Engg
1022,225162,197,1346,BC,2377,AD,OC,"PSG Inst of Tech and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",Artificial Intelligence and Data Science
1023,369235,197,1347,MBC,2006,EC,MBC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electronics and Communication Engg
1024,270666,197,1351,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1025,331988,197,1352,BC,1315,EC,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Electronics and Communication Engg
1026,344863,197,1353,BC,5008,EC,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Electronics and Communication Engg
1027,382347,197,1354,BC,1,EE,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1028,281765,197,1355,BC,2006,CG,BC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",COMPUTER SCIENCE AND Engg (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) (SS)
1029,263921,197,1356,BC,2007,EC,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Electronics and Communication Engg
1030,321120,197,1358,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1031,254109,197,1359,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1032,232430,197,1361,OC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1033,235177,197,1363,BC,5008,CS,BC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg
1034,258767,197,1365,MBC,2006,EC,MBC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electronics and Communication Engg
1035,284774,197,1366,BC,4,EI,OC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Instrumentation Engg
1036,244528,197,1367,BC,1,EE,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1037,263375,197,1371,BC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1038,325760,197,1372,BC,1,EE,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1039,355370,197,1374,BC,2377,CS,OC,"PSG Inst of Tech and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",Computer Science and Engg
1040,298231,197,1375,BC,2712,EC,OC,"Kumaraguru Clge of Tech (Aut), Chinnavedampatti Post, Coimbatore DT 641006",Electronics and Communication Engg
1041,347469,197,1376,BC,2007,CS,BC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg
1042,298348,197,1378,BC,2007,EC,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Electronics and Communication Engg
1043,221025,197,1379,MBC,4,EC,MBC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Communication Engg
1044,327062,197,1380,BC,1399,EC,OC,"CHN Inst of Tech, Puduper Village, Nandambakkam Post, Kundrathur, CHN 600069",Electronics and Communication Engg
1045,328855,197,1381,SC,1,EE,SC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1046,215761,197,1382,BC,1419,CS,OC,"Sri Sairam Enginering Clge, West Tambaram, CHN 600044",Computer Science and Engg
1047,329707,197,1383,BC,4,AT,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1048,324395,197,1387,MBC,2006,CM,MBC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Computer Science and Engg (SS)
1049,259034,197,1389,BC,2615,CS,OC,"Government Clg of Engg (Aut), Karuppur, Salem DT 636011",Computer Science and Engg
1050,278464,197,1391,MBC,1,EE,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1051,289290,197,1392,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1052,332235,197,1393,BC,2006,CG,BC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",COMPUTER SCIENCE AND Engg (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) (SS)
1053,222911,197,1396,MBC,1315,CS,MBC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Computer Science and Engg
1054,233333,197,1397,BC,4,AT,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1055,283848,197,1398,BC,5008,CM,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg (SS)
1056,226669,197,1399,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1057,284656,197,1401,MBC,4,CM,MBC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Computer Science and Engg (SS)
1058,396724,197,1403,BC,4,AT,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1059,380558,197,1405,BC,4,AT,BC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1060,396491,197,1406,BCM,4,CM,BCM,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Computer Science and Engg (SS)
1061,220818,197,1408,BC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1062,204882,197,1412,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1063,400535,197,1413,BC,1315,EC,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Electronics and Communication Engg
1064,219129,197,1414,BC,5008,EC,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Electronics and Communication Engg
1065,242254,197,1417,OC,1,BY,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Bio­ Medical Engg (SS)
1066,312835,197,1418,MBC,4,IM,MBC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Information Tech. (SS)
1067,291696,197,1420,BC,2006,CG,BC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",COMPUTER SCIENCE AND Engg (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) (SS)
1068,253630,197,1421,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1069,263449,197,1423,BC,5008,EC,BC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Electronics and Communication Engg
1070,337986,197,1424,BC,5008,EC,BC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Electronics and Communication Engg
1071,318325,197,1426,BC,1315,EC,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Electronics and Communication Engg
1072,294887,197,1427,BC,1,EE,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1073,220722,197,1428,BC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1074,318269,197,1429,BC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1075,261256,197,1430,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1076,332909,197,1432,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1077,397023,197,1433,BC,1315,EC,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Electronics and Communication Engg
1078,252821,197,1435,BC,2007,CS,BC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg
1079,298148,197,1436,MBC,1,ME,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Mechanical Engg
1080,256991,197,1437,BC,5008,CM,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg (SS)
1081,293055,197,1438,OC,4,AE,OC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Aeronautical Engg
1082,312441,197,1439,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1083,375205,197,1440,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1084,274699,197,1441,BC,4,EI,OC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Instrumentation Engg
1085,344552,197,1442,BC,5008,CM,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg (SS)
1086,231277,197,1445,OC,2712,CS,OC,"Kumaraguru Clge of Tech (Aut), Chinnavedampatti Post, Coimbatore DT 641006",Computer Science and Engg
1087,259652,197,1446,BC,1315,EE,OC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Electrical and Electronics Engg
1088,260045,197,1447,BC,1315,EC,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Electronics and Communication Engg
1089,372504,197,1448,BC,2005,CS,OC,"Government Clge of Tech (Aut), Thadagam Road, Coimbatore DT 641013",Computer Science and Engg
1090,223760,197,1449,BC,4,EI,OC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Instrumentation Engg
1091,269688,197,1450,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1092,270725,197,1451,BCM,1315,IT,BCM,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1093,252184,197,1453,BC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1094,333742,197,1455,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1095,309080,197,1457,OC,1149,CS,OC,"St. Josephs Inst of Tech, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), CHN 600119",Computer Science and Engg
1096,228848,197,1458,BC,1,EE,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1097,360899,197,1459,BC,2712,EC,OC,"Kumaraguru Clge of Tech (Aut), Chinnavedampatti Post, Coimbatore DT 641006",Electronics and Communication Engg
1098,363633,197,1460,BC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1099,222112,197,1462,SC,1,CM,SC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg (SS)
1100,370239,197,1463,BC,5008,CM,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg (SS)
1101,309573,197,1465,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1102,303897,197,1467,MBC,4,IM,MBC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Information Tech. (SS)
1103,369116,197,1469,SC,4,CS,SC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Computer Science and Engg
1104,249035,197,1470,MBC,4,IM,MBC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Information Tech. (SS)
1105,251565,197,1471,BC,2377,CS,OC,"PSG Inst of Tech and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",Computer Science and Engg
1106,273566,197,1473,BC,2007,CS,BC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg
1107,265433,197,1474,BC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1108,265045,197,1475,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1109,256013,197,1478,BC,2006,EE,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electrical and Electronics Engg
1110,278658,197,1479,BC,2007,IM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Information Tech. (SS)
1111,299788,197,1480,BC,2653,CS,OC,"Knowledge Inst of Tech, KIOT Campus, Kakapalayam Post, Salem DT 637504",Computer Science and Engg
1112,285725,197,1485,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1113,263725,197,1488,MBC,4,CM,MBC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Computer Science and Engg (SS)
1114,229990,197,1490,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1115,232110,197,1492,BC,1,ME,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Mechanical Engg
1116,302976,197,1493,MBC,1,EM,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electronics and Communication Engg. (SS)
1117,251640,197,1495,BC,1399,EC,OC,"CHN Inst of Tech, Puduper Village, Nandambakkam Post, Kundrathur, CHN 600069",Electronics and Communication Engg
1118,404513,197,1496,MBC,1315,CS,MBC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Computer Science and Engg
1119,243586,197,1498,BC,1399,CS,OC,"CHN Inst of Tech, Puduper Village, Nandambakkam Post, Kundrathur, CHN 600069",Computer Science and Engg
1120,311727,197,1499,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1121,214697,197,1500,BC,2,IB,OC,"Anna Univ - ACT Campus, Sardar Patel Road, Guindy, CHN 600 025",Industrial Bio­Tech
1122,338076,197,1501,OC,2007,CM,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg (SS)
1123,316951,197,1502,OC,4,EI,OC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Electronics and Instrumentation Engg
1124,201204,197,1503,MBC,1,EE,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electrical and Electronics Engg
1125,245570,197,1506,MBC,1,IM,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Information Tech. (SS)
1126,349800,197,1507,BC,1399,AD,OC,"CHN Inst of Tech, Puduper Village, Nandambakkam Post, Kundrathur, CHN 600069",Artificial Intelligence and Data Science
1127,236999,197,1509,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1128,209241,197,1510,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1129,325951,197,1511,SC,4,AT,SC,"Anna Univ - MIT Campus, Chrompet, Tambaram TK, Kancheepuram DT 600 044",Automobile Engg (SS)
1130,266932,197,1512,MBC,1,IM,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Information Tech. (SS)
1131,293991,197,1513,BC,2007,CS,BC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Computer Science and Engg
1132,226556,197,1514,BC,2007,AT,OC,"Coimbatore Inst of Tech (Aut), Civil Aerodrome Post, Coimbatore DT 641014",Automobile Engg (SS)
1133,297842,197,1515,BC,1315,IT,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Information Tech
1134,389474,197,1518,BC,1315,EC,BC,"Sri Sivasubramaniya Nadar Clg of Engg (Aut), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram",Electronics and Communication Engg
1135,323114,197,1519,BC,3,BP,OC,"School of Architecture and Planning, Anna University,Chennai 600025",B.Plan
1136,398356,197,1520,BC,5008,IM,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Information Tech. (SS)
1137,251258,197,1521,OC,1,ME,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Mechanical Engg
